condition,fw reads,rv reads
HEK293T_rep_1,AmpliconSeqMGs1_S257_R1_001.fastq.gz,
HEK293T_rep_2,AmpliconSeqMGs2_S258_R1_001.fastq.gz,
HeLa_rep_1,AmpliconSeqMGs3_S259_R1_001.fastq.gz,
HeLa_rep_2,AmpliconSeqMGs4_S260_R1_001.fastq.gz,
N2A_rep_1,AmpliconSeqMGs5_S261_R1_001.fastq.gz,
N2A_rep_2,AmpliconSeqMGs6_S262_R1_001.fastq.gz,
plasmid_library_rep_1,AmpliconSeqMGs7_S263_R1_001.fastq.gz,
plasmid_library_rep_2,AmpliconSeqMGs8_S264_R1_001.fastq.gz,
