Condition,bin_1,bin_2,bin_3,bin_4
EPCAM_1,6,14,174,1172
EPCAM_2,5,13,128,1080
CXCR4_1,15,28,391,2481
CXCR4_2,15,27,402,2043
Reporter_1,2,3,90,740
Reporter_2,2,3,66,425
