Construct,Activator type,EPCAM_toxicity_score,CXCR4_toxicity_score,Toxicity_score_average
A01,Single-domain,3.1258271855327115,3.44128275037635,3.283554967954531
A02,Single-domain,2.667706859156538,1.7944320211553253,2.2310694401559314
A03,Single-domain,-0.1166367542671502,-0.4302854881211931,-0.27346112119417165
A04,Single-domain,1.15382873435363,1.2175116397320476,1.1856701870428388
A05,Single-domain,-0.3923766953964007,-0.6664693462019027,-0.5294230207991517
A06,Single-domain,1.2263841418648378,0.4862273147422232,0.8563057283035305
A07,Single-domain,2.5568725693600864,2.711117837034821,2.6339952031974536
A08,Single-domain,-1.2603151769918464,-1.55938471251931,-1.4098499447555781
A09,Single-domain,1.7075649238944066,2.350416109665064,2.0289905167797353
A10,Single-domain,-0.7550524264005205,-0.9885917329823944,-0.8718220796914575
A11,Single-domain,1.750222482164333,2.1939353885437995,1.9720789353540664
A12,Single-domain,1.2189369802793215,-0.3245209439687314,0.4472080181552951
A13,Single-domain,2.6276079048293863,3.1741627662101624,2.9008853355197743
A14,Single-domain,-1.0057744396919182,-0.254171780229055,-0.6299731099604866
A15,Single-domain,2.467844976647269,3.2783252517436834,2.8730851141954763
A16,Single-domain,-0.5314860320875238,-0.5885078432677209,-0.5599969376776224
A17,Single-domain,-1.403571541837007,-1.0790007087860594,-1.2412861253115333
A18,Single-domain,-1.4725805876325022,-1.4875382970620483,-1.4800594423472753
A19,Single-domain,-0.7966812402503122,-1.2444777844285873,-1.0205795123394497
A20,Single-domain,-0.2921460374091028,1.09530867365095,0.4015813181209237
A21,Single-domain,0.648536788061643,1.0864531272634472,0.8674949576625451
A22,Single-domain,-1.2580320517054138,-0.8732143037978485,-1.0656231777516312
A23,Single-domain,0.1438544917928353,1.2121602226072563,0.6780073572000458
A24,Single-domain,1.9911733795629496,2.998672548191128,2.494922963877039
A25,Single-domain,0.907807916052596,1.6153009971291854,1.2615544565908907
A01_A01,Bipartite,0.3268292183514567,0.5974906150478465,0.4621599166996516
A01_A02,Bipartite,0.5637191711509624,0.6916846026122314,0.6277018868815969
A01_A03,Bipartite,0.728516929416841,0.350710207900332,0.5396135686585866
A01_A04,Bipartite,0.683605861472545,0.9269792531810496,0.8052925573267973
A01_A05,Bipartite,-0.1088875975293787,0.2171816697319613,0.0541470361012913
A01_A06,Bipartite,0.6320200801127487,0.8666917808546654,0.749355930483707
A01_A07,Bipartite,0.428809307328358,0.7228843737745105,0.5758468405514343
A01_A08,Bipartite,0.5824847874731435,0.8059767894704735,0.6942307884718084
A01_A09,Bipartite,0.7229738111955294,0.7897122145388911,0.7563430128672102
A01_A10,Bipartite,0.3569458156207823,0.9164558465129644,0.6367008310668734
A01_A11,Bipartite,0.9693322192432322,0.8739263736689655,0.9216292964560988
A01_A12,Bipartite,0.5938965116474113,1.221425720253568,0.9076611159504897
A01_A13,Bipartite,1.0235632227006528,0.7274269743459725,0.8754950985233126
A01_A14,Bipartite,0.961124159141282,1.1317237276620111,1.0464239434016465
A01_A15,Bipartite,1.156756303378466,0.960281074258392,1.058518688818429
A01_A16,Bipartite,0.6983270615141359,0.7947747616887968,0.7465509116014664
A01_A17,Bipartite,0.991362035173777,0.4034741829790079,0.6974181090763925
A01_A18,Bipartite,0.1989878533157649,0.3406369106382148,0.26981238197698987
A01_A19,Bipartite,0.5872898061223415,-0.0736144507428087,0.2568376776897664
A01_A20,Bipartite,0.8893923407905171,0.3199814495151875,0.6046868951528523
A01_A21,Bipartite,0.7087924855178539,0.4142856005978963,0.561539043057875
A01_A22,Bipartite,0.403997656479204,0.8205589078213842,0.6122782821502941
A01_A23,Bipartite,-0.2189220716155302,0.6205881373092981,0.20083303284688392
A01_A24,Bipartite,1.0119342474459094,0.6678347344862373,0.8398844909660734
A01_A25,Bipartite,0.9712791412565376,1.0271773684073875,0.9992282548319625
A02_A01,Bipartite,0.8191364463830733,0.8942734694786038,0.8567049579308386
A02_A02,Bipartite,0.7445513799834874,0.3824138958832139,0.5634826379333506
A02_A03,Bipartite,0.731423722069505,0.7560647322069878,0.7437442271382464
A02_A04,Bipartite,0.486648474044472,-0.0434813592451076,0.2215835573996822
A02_A05,Bipartite,0.2708073077007208,-0.0435992608223828,0.113604023439169
A02_A06,Bipartite,-0.1703347802801931,0.4598601208310831,0.14476267027544498
A02_A07,Bipartite,0.6389125874773816,0.6584705010708548,0.6486915442741181
A02_A08,Bipartite,0.1615340961571666,0.8728887188483844,0.5172114075027755
A02_A09,Bipartite,-0.2221496640423655,-0.4946001721853897,-0.3583749181138776
A02_A10,Bipartite,-0.8509934634110491,-1.1546525603619295,-1.0028230118864894
A02_A11,Bipartite,0.627483978487259,0.6494994123828295,0.6384916954350442
A02_A12,Bipartite,0.3951461955255088,0.9655464309807706,0.6803463132531398
A02_A13,Bipartite,0.429629124744548,0.492623206383435,0.4611261655639915
A02_A14,Bipartite,0.9460238679766588,0.5503132417337184,0.7481685548551886
A02_A15,Bipartite,0.4935428845447007,0.5772157293667101,0.5353793069557053
A02_A16,Bipartite,0.1482131749894341,0.5521589838950323,0.3501860794422332
A02_A17,Bipartite,0.7269232974050926,0.5125513346905247,0.6197373160478087
A02_A18,Bipartite,-0.3522079674171446,-0.478969083828432,-0.4155885256227883
A02_A19,Bipartite,-0.08544533350292,0.1838385909229327,0.04919662871000635
A02_A20,Bipartite,0.4902971518012254,-0.01479606725311,0.2377505422740577
A02_A21,Bipartite,0.7079336168872457,0.325863170188183,0.5168983935377143
A02_A22,Bipartite,0.4158470346830312,0.3342167341078649,0.37503188439544805
A02_A23,Bipartite,0.4281117831220541,-0.0102374744389995,0.20893715434152732
A02_A24,Bipartite,1.0105349201241047,0.4017551504272963,0.7061450352757005
A02_A25,Bipartite,0.4800607603522308,-0.012355028226426,0.2338528660629024
A03_A01,Bipartite,0.9363917342987724,0.9040864207674004,0.9202390775330864
A03_A02,Bipartite,0.7292309078508402,0.7716697445669706,0.7504503262089054
A03_A03,Bipartite,-0.2391465843544203,-0.0818855504285476,-0.16051606739148394
A03_A04,Bipartite,0.2801316188667718,-0.1937035008797804,0.0432140589934957
A03_A05,Bipartite,0.0433138479383088,0.0678956227534131,0.05560473534586095
A03_A06,Bipartite,0.7632781555499586,0.4674420865663387,0.6153601210581486
A03_A07,Bipartite,-0.0044942893356857,0.1256731240583664,0.060589417361340346
A03_A08,Bipartite,-0.0023029456424511,-0.1286174718949566,-0.06546020876870384
A03_A09,Bipartite,0.6172279793338199,0.9636005313665176,0.7904142553501687
A03_A10,Bipartite,0.0194877017432808,-0.8990393497906084,-0.4397758240236638
A03_A11,Bipartite,0.5090663438530851,0.0926511349258067,0.3008587393894459
A03_A12,Bipartite,0.134216897210088,0.5451698606741789,0.3396933789421335
A03_A13,Bipartite,0.1920794716106547,0.2167936585715444,0.20443656509109953
A03_A14,Bipartite,0.2397961080481971,0.1137996615602448,0.17679788480422096
A03_A15,Bipartite,1.018745180643874,0.5649000692030934,0.7918226249234838
A03_A16,Bipartite,-0.0730920639785059,-0.0962409702217391,-0.08466651710012249
A03_A17,Bipartite,-0.2719687699127821,0.0178936630760365,-0.1270375534183728
A03_A18,Bipartite,-0.5332289031955212,-0.4160015714343478,-0.4746152373149345
A03_A19,Bipartite,-1.4418607052093726,0.3068204494260562,-0.5675201278916582
A03_A20,Bipartite,-0.4218284668918471,-0.2459496414902941,-0.3338890541910706
A03_A21,Bipartite,-0.1675929493342298,0.7202287112808802,0.2763178809733252
A03_A22,Bipartite,-0.3489051593228454,0.0213593762400273,-0.16377289154140903
A03_A23,Bipartite,-0.0921014195215449,-0.683786462183704,-0.38794394085262446
A03_A24,Bipartite,0.5282413886768631,0.0573826179018917,0.2928120032893774
A03_A25,Bipartite,-0.1144065379082869,-0.1943214963527931,-0.15436401713054002
A04_A01,Bipartite,0.7839376304177464,0.3317127264474069,0.5578251784325767
