Domain,Hit on EPCAM,Hit on CXCR4,Hit on tdTomato,Hit on any,Paddle has strong hit,Paddle has medium hit,Strong hit true positive,Strong hit false positive,Strong hit true negative,Strong hit false negative,Medium hit true positive,Medium hit false positive,Medium hit true negative,Medium hit false negative
HS_MLLx3,True,True,True,True,False,True,False,False,False,True,True,False,False,False
HS_MLXIP,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_MYBA,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_MYC,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_NANOG,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_NCOA5,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFAC1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFAC2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFATC1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFE2,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_NFE2L3,True,False,False,True,True,True,True,False,False,False,True,False,False,False
HS_NR1H2_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NR1H2_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NRF1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NRL,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_P53,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_P63,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_P73,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_PDX1_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_PO4F2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_POU2x2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_PPRC1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_PRGR_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_PRGR_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_QIIIx4,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SP1_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SP1_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SP1_3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SP3_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SP3_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SPDYE4,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_SRBP1,False,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_SRBP2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_SRTD2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_SSXT,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TEAD2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TF65_1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_TF65_2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_TF65_3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TFE3_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TFEB,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TFEC_1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
